Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MOEAD,ZDT4,12,HV,0.0
MOEAD,ZDT4,13,GD,1.2742365430140368
MOEAD,ZDT4,13,EP,1.12620795190328
MOEAD,ZDT4,13,HV,0.0
MOEAD,ZDT4,14,GD,4.859518037599236
MOEAD,ZDT4,14,EP,1.592754914038471
MOEAD,ZDT4,14,HV,0.0
MOEAD,ZDT4,15,GD,3.1416315338891034
MOEAD,ZDT4,15,EP,1.994777256448101
MOEAD,ZDT4,15,HV,0.0
MOEAD,ZDT4,16,GD,7.4082363403597675
MOEAD,ZDT4,16,EP,2.7349628313471066
MOEAD,ZDT4,16,HV,0.0
MOEAD,ZDT4,17,GD,3.9892159544352204
MOEAD,ZDT4,17,EP,2.3965346349757626
MOEAD,ZDT4,17,HV,0.0
MOEAD,ZDT4,18,GD,3.028988548741127
MOEAD,ZDT4,18,EP,1.9709098507133282
MOEAD,ZDT4,18,HV,0.0
MOEAD,ZDT4,19,GD,4.476105833501176
MOEAD,ZDT4,19,EP,3.234811158249607
MOEAD,ZDT4,19,HV,0.0
MOEAD,ZDT4,2,GD,3.12256910961312
MOEAD,ZDT4,2,EP,1.7247216659990399
MOEAD,ZDT4,2,HV,0.0
MOEAD,ZDT4,20,GD,4.6430226076746495
MOEAD,ZDT4,20,EP,2.4208659931600978
MOEAD,ZDT4,20,HV,0.0
MOEAD,ZDT4,21,GD,4.910553841511652
MOEAD,ZDT4,21,EP,1.9917121851764936
MOEAD,ZDT4,21,HV,0.0
MOEAD,ZDT4,22,GD,3.011605995822931
MOEAD,ZDT4,22,EP,1.5246059953959725
MOEAD,ZDT4,22,HV,0.0
MOEAD,ZDT4,23,GD,4.5756382026582445
MOEAD,ZDT4,23,EP,3.0385681049533972
MOEAD,ZDT4,23,HV,0.0
MOEAD,ZDT4,24,GD,3.296718405322547
MOEAD,ZDT4,24,EP,2.099891075915893
MOEAD,ZDT4,24,HV,0.0
MOEAD,ZDT4,25,GD,4.326644848812996
MOEAD,ZDT4,25,EP,2.5646611045423007
MOEAD,ZDT4,25,HV,0.0
MOEAD,ZDT4,26,GD,6.3971706552383605
MOEAD,ZDT4,26,EP,3.412727990847133
MOEAD,ZDT4,26,HV,0.0
MOEAD,ZDT4,27,GD,5.858013989339226
MOEAD,ZDT4,27,EP,3.305847235571049
MOEAD,ZDT4,27,HV,0.0
MOEAD,ZDT4,28,GD,3.746763999906607
MOEAD,ZDT4,28,EP,2.5841522409715303
MOEAD,ZDT4,28,HV,0.0
MOEAD,ZDT4,29,GD,4.325202900707922
MOEAD,ZDT4,29,EP,2.3525601453062177
MOEAD,ZDT4,29,HV,0.0
MOEAD,ZDT4,3,GD,4.914830435639356
MOEAD,ZDT4,3,EP,3.789251336409868
MOEAD,ZDT4,3,HV,0.0
MOEAD,ZDT4,4,GD,3.3522743588443236
MOEAD,ZDT4,4,EP,2.6509616717717717
MOEAD,ZDT4,4,HV,0.0
MOEAD,ZDT4,5,GD,5.286186069868486
MOEAD,ZDT4,5,EP,2.8638261580828983
MOEAD,ZDT4,5,HV,0.0
MOEAD,ZDT4,6,GD,5.059603556479105
MOEAD,ZDT4,6,EP,3.314392886758522
MOEAD,ZDT4,6,HV,0.0
MOEAD,ZDT4,7,GD,6.123768704650804
MOEAD,ZDT4,7,EP,4.046090617209791
MOEAD,ZDT4,7,HV,0.0
MOEAD,ZDT4,8,GD,6.506819317358313
MOEAD,ZDT4,8,EP,3.5217879912092513
MOEAD,ZDT4,8,HV,0.0
MOEAD,ZDT4,9,GD,3.9480246116624182
MOEAD,ZDT4,9,EP,2.173751203202333
MOEAD,ZDT4,9,HV,0.0
MOEAD,ZDT4,0,Time,6.409000873565674
MOEAD,ZDT4,1,Time,6.193996429443359
MOEAD,ZDT4,10,Time,6.266048192977905
MOEAD,ZDT4,11,Time,5.971998691558838
MOEAD,ZDT4,12,Time,6.456999063491821
MOEAD,ZDT4,13,Time,7.015024423599243
MOEAD,ZDT4,14,Time,5.918998718261719
MOEAD,ZDT4,15,Time,5.8659987449646
MOEAD,ZDT4,16,Time,5.973999261856079
MOEAD,ZDT4,17,Time,5.833031415939331
MOEAD,ZDT4,18,Time,6.0100274085998535
MOEAD,ZDT4,19,Time,5.89203143119812
MOEAD,ZDT4,2,Time,5.966997861862183
MOEAD,ZDT4,20,Time,5.900031328201294
MOEAD,ZDT4,21,Time,6.114999771118164
MOEAD,ZDT4,22,Time,5.87899923324585
MOEAD,ZDT4,23,Time,5.883000373840332
MOEAD,ZDT4,24,Time,5.877032518386841
MOEAD,ZDT4,25,Time,6.16299843788147
MOEAD,ZDT4,26,Time,5.96799898147583
MOEAD,ZDT4,27,Time,6.123031854629517
MOEAD,ZDT4,28,Time,5.89599609375
MOEAD,ZDT4,29,Time,5.9419989585876465
MOEAD,ZDT4,3,Time,5.872037649154663
MOEAD,ZDT4,4,Time,5.807027101516724
MOEAD,ZDT4,5,Time,6.119999170303345
MOEAD,ZDT4,6,Time,5.995029449462891
MOEAD,ZDT4,7,Time,5.849027156829834
MOEAD,ZDT4,8,Time,6.2038562297821045
MOEAD,ZDT4,9,Time,6.48799991607666
MOEAD,ZDT6,0,GD,0.03756555324136966
MOEAD,ZDT6,0,EP,0.0032687231611136514
MOEAD,ZDT6,0,HV,0.33091115005513
MOEAD,ZDT6,1,GD,0.4890423137666265
MOEAD,ZDT6,1,EP,0.9065268361380278
MOEAD,ZDT6,1,HV,0.0008272141805888346
MOEAD,ZDT6,10,GD,0.06922624189349136
MOEAD,ZDT6,10,EP,0.06931392442175122
MOEAD,ZDT6,10,HV,0.31338669212323067
MOEAD,ZDT6,11,GD,0.11830902851728549
MOEAD,ZDT6,11,EP,0.5824961280554467
MOEAD,ZDT6,11,HV,0.2226547023504843
MOEAD,ZDT6,12,GD,0.18105033723041153
MOEAD,ZDT6,12,EP,0.40433271803846826
